,DATA_TYPE,N,DATA_LABEL,NGRAM_TFIDF_RF,EXP,WORD_TFIFD_RF,CHAR_NGRAM_TFIDF_RF,WC_RF
8,SPEAKERS,369,1673,0.4444444444444444,TB_INT,0.4444444444444444,0.4444444444444444,0.4444444444444444
9,SPEAKERS,369,1673,0.7999999999999999,TB_INT,0.8571428571428571,0.8571428571428571,0.8571428571428571
10,SPEAKERS,369,1673,0.7999999999999999,TB_INT,1.0,0.923076923076923,1.0
11,SPEAKERS,369,1673,1.0,TB_INT,0.923076923076923,0.8333333333333333,0.923076923076923
12,SPEAKERS,369,1673,0.8235294117647058,TB_INT,0.8571428571428571,0.8571428571428571,0.8571428571428571
13,SPEAKERS,369,1673,0.6666666666666666,TB_INT,0.6,0.6,0.6
14,SPEAKERS,369,1673,0.6153846153846153,TB_INT,0.6,0.6,0.6
15,SPEAKERS,369,1673,0.5,TB_INT,0.5,0.5,0.5
16,SPEAKERS,369,1673,0.7777777777777778,TB_INT,0.8571428571428571,0.8571428571428571,0.8571428571428571
17,SPEAKERS,369,1673,0.7368421052631579,TB_INT,0.7999999999999999,0.8571428571428571,0.9333333333333333
18,SPEAKERS,369,1673,0.923076923076923,TB_INT,0.923076923076923,0.8333333333333333,0.8333333333333333
19,SPEAKERS,369,1673,0.7999999999999999,TB_INT,0.923076923076923,0.923076923076923,0.923076923076923
0,SPEAKERS,690,1641,0.7083333333333334,TB_INT,0.6666666666666666,0.6486486486486486,0.6666666666666666
1,SPEAKERS,690,1641,0.85,TB_INT,0.7878787878787877,0.7999999999999999,0.8421052631578948
2,SPEAKERS,690,1641,0.8292682926829269,TB_INT,0.8648648648648649,0.5,0.8823529411764706
3,SPEAKERS,690,1641,0.717948717948718,TB_INT,0.625,0.6206896551724139,0.6857142857142857
4,SPEAKERS,690,1641,0.7,TB_INT,0.6842105263157895,0.6111111111111113,0.7027027027027027
5,SPEAKERS,690,1641,0.7647058823529412,TB_INT,0.8484848484848485,0.8235294117647058,0.8484848484848485
6,SPEAKERS,690,1641,0.9411764705882353,TB_INT,0.9090909090909091,0.9411764705882353,0.9411764705882353
7,SPEAKERS,690,1641,0.8888888888888888,TB_INT,0.9090909090909091,0.9375,0.9375
8,SPEAKERS,690,1641,0.8717948717948718,TB_INT,0.8749999999999999,0.9090909090909091,0.8666666666666666
9,SPEAKERS,690,1641,0.9090909090909091,TB_INT,0.8749999999999999,0.8749999999999999,0.8749999999999999
10,SPEAKERS,690,1641,0.8717948717948718,TB_INT,0.9142857142857143,0.9142857142857143,0.9142857142857143
11,SPEAKERS,690,1641,0.9444444444444444,TB_INT,0.8749999999999999,0.9032258064516129,0.8823529411764706
12,SPEAKERS,690,1641,0.7804878048780487,TB_INT,0.8421052631578947,0.7567567567567567,0.8108108108108107
13,SPEAKERS,690,1641,0.7368421052631577,TB_INT,0.787878787878788,0.8235294117647058,0.787878787878788
14,SPEAKERS,690,1641,0.8333333333333333,TB_INT,0.7741935483870968,0.8125,0.8484848484848485
15,SPEAKERS,690,1641,0.9142857142857143,TB_INT,0.9090909090909091,0.9696969696969697,0.9411764705882353
16,SPEAKERS,690,1641,0.9032258064516129,TB_INT,0.9142857142857143,0.7741935483870968,0.9090909090909091
17,SPEAKERS,690,1641,0.7999999999999999,TB_INT,0.9696969696969697,0.9696969696969697,0.8888888888888888
